"","isSpam","isRe","underscore","priority","isInReplyTo","sortedRec","subPunc","multipartText","hasImages","isPGPsigned","subSpamWords","noHost","numEnd","isYelling","isOrigMsg","isDear","isWrote","numLines","bodyCharCt","subExcCt","subQuesCt","numAtt","numRec","perCaps","hour","perHTML","subBlanks","forwards","avgWordLen","numDlr"
"./Unit6//messages/easy_ham1","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",50,1554,0,0,0,2,4.45103857566766,11,0,12.5,0,4.37662337662338,3
"./Unit6//messages/easy_ham2","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",26,873,0,0,0,1,7.49128919860627,11,0,8,0,4.55555555555556,0
"./Unit6//messages/easy_ham3","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1713,0,0,0,1,7.43609604957397,12,0,8,0,4.81716417910448,0
"./Unit6//messages/easy_ham4","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",32,1095,0,0,0,0,5.09090909090909,13,0,18.9189189189189,3.125,4.71428571428571,0
"./Unit6//messages/easy_ham5","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",31,1021,0,0,0,1,6.11664295874822,13,0,15.2173913043478,6.45161290322581,4.23493975903614,0
"./Unit6//messages/easy_ham6","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",25,718,0,0,0,1,7.62527233115468,13,0,15.2173913043478,12,3.95689655172414,0
"./Unit6//messages/easy_ham7","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1288,0,0,0,1,6.3437139561707,13,0,17.0212765957447,0,4.05140186915888,0
"./Unit6//messages/easy_ham8","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",39,1182,0,0,0,1,6.61764705882353,14,0,15.2173913043478,12.8205128205128,4.03960396039604,0
"./Unit6//messages/easy_ham9","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",126,5989,0,0,0,1,3.16136114160263,14,0,6.25,0,4.40522243713733,0
"./Unit6//messages/easy_ham10","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",50,1554,0,0,0,2,4.45103857566766,11,0,12.5,0,4.37662337662338,3
"./Unit6//messages/easy_ham11","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",19,848,0,0,0,1,5.56464811783961,14,0,11.1111111111111,0,4.84920634920635,0
"./Unit6//messages/easy_ham12","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",20,602,0,0,0,1,4.78589420654912,14,0,10.6382978723404,0,4.84146341463415,0
"./Unit6//messages/easy_ham13","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T",27,1026,0,3,0,2,4.45402298850575,15,0,14.8936170212766,40.7407407407407,4.21818181818182,0
"./Unit6//messages/easy_ham14","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F",28,1036,0,0,0,2,3.48837209302326,15,0,15.5555555555556,7.14285714285714,4.03125,0
"./Unit6//messages/easy_ham15","F","T","F","F","T","T","F","F","F","T","F","F","F","F","F","F","F",54,1758,0,0,1,2,7.73286467486819,15,0,12.5,37.037037037037,4.1231884057971,0
"./Unit6//messages/easy_ham16","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",89,4541,0,0,0,1,2.44179443498013,15,0,17.6470588235294,0,4.89847009735744,0
"./Unit6//messages/easy_ham17","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",24,630,0,0,0,1,8.63636363636364,15,0,12,0,4.27184466019417,0
"./Unit6//messages/easy_ham18","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",36,1180,0,0,0,1,7.13391739674593,16,0,11.864406779661,16.6666666666667,4.39010989010989,0
"./Unit6//messages/easy_ham19","F","F","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F",30,895,0,0,0,2,7.48091603053435,16,0,12.5,73.3333333333333,4.58041958041958,0
"./Unit6//messages/easy_ham20","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",21,466,0,1,0,1,11.4814814814815,16,0,12.1212121212121,0,4.28571428571429,0
"./Unit6//messages/easy_ham21","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",26,873,0,0,0,1,7.49128919860627,11,0,8,0,4.55555555555556,0
"./Unit6//messages/easy_ham22","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",14,503,0,0,0,1,4.21836228287841,16,0,10,0,4.3804347826087,0
"./Unit6//messages/easy_ham23","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",23,506,0,1,0,1,11.8243243243243,16,0,13.5135135135135,17.3913043478261,4.22857142857143,0
"./Unit6//messages/easy_ham24","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",33,1416,0,0,0,1,5.36851683348499,16,0,12.5,3.03030303030303,4.13157894736842,0
"./Unit6//messages/easy_ham25","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",41,1605,0,0,0,1,5.70719602977668,16,0,12.5,63.4146341463415,4.14041095890411,0
"./Unit6//messages/easy_ham26","F","T","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F",52,1057,0,1,0,1,13.1539611360239,17,0,13.5135135135135,0,4.48993288590604,0
"./Unit6//messages/easy_ham27","F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",35,906,0,0,0,1,5.52325581395349,18,0,12.5,22.8571428571429,4.35443037974684,0
"./Unit6//messages/easy_ham28","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",75,2363,0,0,0,1,2.63440860215054,18,0,14.7058823529412,8,4.49275362318841,0
